#     d1           d2          d4          d8          op
      9.600      16.300      47.500     114.400      33.200
     33.200       9.600      30.600     109.600      92.600
     92.600      33.200      16.300      88.800     151.600
    151.600      92.600       9.600      67.800     136.300
    136.300     151.600      33.200      47.500     134.700
    134.700     136.300      92.600      30.600      83.900
     83.900     134.700     151.600      16.300      69.400
     69.400      83.900     136.300       9.600      31.500
     31.500      69.400     134.700      33.200      13.900
     13.900      31.500      83.900      92.600       4.400
      4.400      13.900      69.400     151.600      38.000
     38.000       4.400      31.500     136.300     141.700
    141.700      38.000      13.900     134.700     190.200
    190.200     141.700       4.400      83.900     184.800
    184.800     190.200      38.000      69.400     159.000
    159.000     184.800     141.700      31.500     112.300
    112.300     159.000     190.200      13.900      53.900
     53.900     112.300     184.800       4.400      37.600
     37.600      53.900     159.000      38.000      27.900
     27.900      37.600     112.300     141.700      10.200
     10.200      27.900      53.900     190.200      15.100
     15.100      10.200      37.600     184.800      47.000
     47.000      15.100      27.900     159.000      93.800
     93.800      47.000      10.200     112.300     105.900
    105.900      93.800      15.100      53.900     105.500
    105.500     105.900      47.000      37.600     104.500
    104.500     105.500      93.800      27.900      66.600
     66.600     104.500     105.900      10.200      68.900
     68.900      66.600     105.500      15.100      38.000
     38.000      68.900     104.500      47.000      34.500
     34.500      38.000      66.600      93.800      15.500
     15.500      34.500      68.900     105.900      12.600
     12.600      15.500      38.000     105.500      27.500
     27.500      12.600      34.500     104.500      92.500
     92.500      27.500      15.500      66.600     155.400
    155.400      92.500      12.600      68.900     154.600
    154.600     155.400      27.500      38.000     140.400
    140.400     154.600      92.500      34.500     115.900
    115.900     140.400     155.400      15.500      66.600
     66.600     115.900     154.600      12.600      45.900
     45.900      66.600     140.400      27.500      17.900
     17.900      45.900     115.900      92.500      13.400
     13.400      17.900      66.600     155.400      29.400
     29.400      13.400      45.900     154.600     100.200
    100.200      29.400      17.900     140.400     157.600
    157.600     100.200      13.400     115.900     142.600
    142.600     157.600      29.400      66.600     145.700
    145.700     142.600     100.200      45.900      94.300
     94.300     145.700     157.600      17.900      54.600
     54.600      94.300     142.600      13.400      29.900
     29.900      54.600     145.700      29.400      17.500
     17.500      29.900      94.300     100.200       8.600
      8.600      17.500      54.600     157.600      21.500

